Group,Name,Slug,Logo
#,3CE,796_3ce,https://images.soco.id/4475f258-b089-402c-b366-ef3fce046f74-.jpg
A,Abib,751_abib,https://images.soco.id/59971b04-33e3-4003-a118-7780a9327412-.jpg
A,Acwell,730_acwell,https://images.soco.id/7ff943fc-230d-47c1-906f-36d2d0c7f805-.jpg
A,Adara Cosmetics,15654_adara-cosmetics,https://images.soco.id/e28553c4-d884-4b60-831e-f7b45d5d8528-.jpg
A,Aeris Beaute,584_aeris-beaute,https://images.soco.id/436ea19a-470c-49e5-ae39-8e1afb3b31a0-.jpg
A,Alatte,15703_alatte,https://images.soco.id/96796587-0f8b-425d-bc67-5e5d26af6f6c-.jpg
A,Alchemist Fragrance,15542_alchemist-fragrance,https://images.soco.id/b81cebb6-29d5-4a2f-8ac2-3da2506a991a-.jpg
A,Allglows,1350_allglows,https://images.soco.id/333c01e5-df1a-463d-af49-87e64bf54b92-.jpg
A,Amuse,15700_amuse,https://images.soco.id/d9a85cb5-72e4-42e8-91ac-5c9e56b310f6-.jpg
A,Anessa,2019_anessa,https://images.soco.id/14ac5400-c23b-4297-b694-c9c6b4c85e4c-.jpg
A,Anua,15689_anua,https://images.soco.id/e59dd342-ae97-491e-b4d0-56cdda9bfbc8-.jpg
A,Argavell,814_argavell,https://images.soco.id/2c37fdac-7000-4fab-98eb-cc766cce83f8-.jpg
A,Ariul,2086_ariul,https://images.soco.id/f1e8ffe3-31fa-4b8b-a758-e3859e34894c-.jpg
A,Artisan Professionnel,281_artisan-professionnel,https://images.soco.id/385522ff-3a65-4eb4-b09a-5f072bbca7d2-.jpg
A,Aveeno,1196_aveeno,https://images.soco.id/59962069-71fb-447c-95be-a18307087366-.jpg
A,Avoskin,504_avoskin,https://images.soco.id/3e5b31f3-9b6f-4cf0-9e17-5ee53d92597c-.jpg
A,Axis-Y,15230_axis-y,https://images.soco.id/a028ac98-ae7b-43ec-84a5-1b98a9ecec52-.jpg
A,Azarine,475_azarine,https://images.soco.id/0714d53c-5722-4daf-b51f-10bc366de0d3-.jpg
B,Balans,1371_balans,https://images.soco.id/288c9c35-f90d-4c2d-aa26-e8cebe6cd17d-.jpg
B,Banana Boat,202_banana-boat,https://images.soco.id/545e6c24-c63e-4d77-91b1-183b0f41356c-.jpg
B,banila co.,600_banila-co,https://images.soco.id/9853dc02-b899-40be-8d2c-0ce9e2f6d0b1-.jpg
B,Banobagi,1247_banobagi,https://images.soco.id/9a9e16c9-9923-455a-a1e8-81a04d7366f5-.jpg
B,barenbliss,1284_barenbliss,https://images.soco.id/4018e45b-018c-4b4d-9cc6-ceedff9847bd-.jpg
B,Base,1322_base,https://images.soco.id/2cbdc034-dc79-46c7-8f0c-76319890fe21-.jpg
B,Batiste,515_batiste,https://images.soco.id/1c46019b-1785-4de5-be5e-46e5335af73e-.jpg
B,Beauty of Joseon,2271_beauty-of-joseon,https://images.soco.id/ef19d408-fc54-469a-a4d8-c5fb93becbc3-.jpg
B,Beauty Of Majesty,15526_beauty-of-majesty,https://images.soco.id/27f000e2-2230-4e11-9db2-471ccf2c2a7c-.jpg
B,Beauty Secrets,15662_beauty-secrets,https://images.soco.id/86a316c9-832a-4a57-a998-d1ad0143b5aa-.jpg
B,Beauty Theory,1320_beauty-theory,https://images.soco.id/bc6bd4ef-8b9f-4106-adfe-bfd5903a94c4-.jpg
B,beautyblender,109_beautyblender,https://images.soco.id/118a2c9a-50ac-4130-b27f-1beaaf02daaf-.jpg
B,Benton,575_benton,https://images.soco.id/b90eb6ba-ad81-424c-87ff-764d61eee04b-.jpg
B,Bhumi,731_bhumi,https://images.soco.id/92aa86e0-d5db-48be-aceb-84dbf29db463-.jpg
B,BIES,15349_bies,https://images.soco.id/20bd3d6e-6aae-40df-9c05-3e4ed1810b3e-.jpg
B,Bio Beauty Lab,1161_bio-beauty-lab,https://images.soco.id/4217f55b-52ea-4862-ad4a-2ffcd315287a-.jpg
B,Bio Oil,192_bio-oil,https://images.soco.id/b7d5f011-72cc-4b08-a8e1-f2cf9dce14ef-.jpg
B,Bio-essence,252_bio-essence,https://images.soco.id/746cac7a-a915-4c4f-aa52-7cc659987e58-.jpg
B,Bioderma,176_bioderma,https://images.soco.id/98bd0ab2-4d62-4db3-9a07-3865dba722e2-.jpg
B,Biore,286_biore,https://images.soco.id/84d099ee-fca8-4e66-9e0c-257a62062789-.jpg
B,Biotalk,15664_biotalk,https://images.soco.id/d670e6b1-604c-42bf-8f53-3f82179750f1-.jpg
B,Biyu,2188_biyu,https://images.soco.id/78c2bf46-be6d-4362-b17b-54c9e5803ab6-.jpg
B,Blink Charm,154_blink-charm,https://images.soco.id/f25fde7d-3bc7-41cc-bbcc-f1e03f654139-.jpg
B,BLITHE,411_blithe,https://images.soco.id/34bc7814-47f5-419d-b0e4-7c8a4d618f44-.jpg
